,title,type,built_area,land_area,price,rooms,link
142,Chatsworth Road,Good-class Bungalow,6300,19837,40000000,6,stproperty.sg/listings/80667792/for-sale-chatsworth-road-gcb-on-chatsworth-for-sale
143,Coronation Road West,Good-class Bungalow,5500,16098,19600000,5,stproperty.sg/listings/84937241/for-sale-coronation-road-west-exclusive-and-private-good-class-bungalow
144,Cable Road,Good-class Bungalow,8940,15141,31796100,5,stproperty.sg/listings/80946232/for-sale-cable-road-cable-road
145,Ashley Green,Good-class Bungalow,8000,15577,24500000,5,stproperty.sg/listings/84120031/for-sale-ashley-green-bukit-sedap-road
146,Coronation Road,Detached,3500,9640,13800000,4,stproperty.sg/listings/84238121/for-sale-coronation-road-wow-wow-wow
147,Shamrock Park,Detached,4000,6569,10500000,5,stproperty.sg/listings/84167421/for-sale-shamrock-park-namly-crescent
148,Ban Guan Park,Detached,4300,7300,11800000,7,stproperty.sg/listings/82404282/for-sale-ban-guan-park-greenleaf-view
149,Shamrock Park,Detached,4000,6567,11000000,6,stproperty.sg/listings/85224881/for-sale-shamrock-park-freehold-detached-house-for-sale-ideal-for
150,Keng Chin Road,Detached,4500,3720,6000000,4,stproperty.sg/listings/82404232/for-sale-keng-chin-road-cheapest-bungalow-in-town
151,Old Holland Road,Good-class Bungalow,11000,25800,32800000,5,stproperty.sg/listings/82940642/for-sale-old-holland-road-classic-gcb-at-old-holland-road
152,Cluny Park,Good-class Bungalow,12000,15000,50000000,6,stproperty.sg/listings/54331012/for-sale-cluny-park-cluny-park
153,Ming Teck Park,Detached,2500,9200,13000000,4,stproperty.sg/listings/83428762/for-sale-ming-teck-park-gcba-land-for-rebuilt-near-sixth-avenue-mrt
154,Holland Park,Good-class Bungalow,11000,15000,33000000,5,stproperty.sg/listings/64742972/for-sale-holland-park-beautiful-good-class-bungalow
155,Bukit Sedap Road,Good-class Bungalow,8000,15678,27000000,5,stproperty.sg/listings/87251351/for-sale-bukit-sedap-road-off-holland-road-private-quiet-greenery
156,Namly View,Detached,7085,5188,12380000,5,stproperty.sg/listings/85782351/for-sale-namly-view-bespoke-architecture-love-at-first-sight-prime-n
157,Villa De Jervois,Good-class Bungalow,10500,15191,39888000,7,stproperty.sg/listings/83317502/for-sale-villa-de-jervois-stunning-multi-generation-family-home-in-a-great-p
158,Garlick Avenue,Good-class Bungalow,19248,19248,20000000,6,stproperty.sg/listings/85091971/for-sale-garlick-avenue-old-holland-road-garlick-ave
159,Old Holland Road,Good-class Bungalow,9000,17400,27200000,6,stproperty.sg/listings/85782341/for-sale-old-holland-road-rare-elevated-plot-holland-rd-vicinity-near-amen
160,Bukit Timah Road,Detached,8100,4400,12000000,5,stproperty.sg/listings/81874532/for-sale-bukit-timah-road-bukit-timah-road
161,Holland Grove Lane,Detached,8400,4311,10980000,6,stproperty.sg/listings/85366401/for-sale-holland-grove-lane-brand-new-bungalow
162,Victoria Park Road,Detached,5000,8800,14800000,5,stproperty.sg/listings/81004222/for-sale-victoria-park-road-spacious-quiet-and-nice-greenery-freehold-house-w
